office_id,hitl_id,constituency,county,triage,status,proposed_lat,proposed_lng,final_lat,final_lng,method,confidence,pip_verified,cluster_peers,notes,applied
176,6788dbb6-ef10-4dcb-8748-7ac9aa3d1a07,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
177,8f3ca15b-d2af-4b97-8f82-1fefa566c0b7,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
178,91dcfe7a-36a4-4838-84be-366e63a5e86e,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
179,7c4021c9-4ee4-4f8e-a08e-25668a6c2352,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
180,c87066b2-8726-40de-be3f-48766c74b27c,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
181,a03efa0d-5466-4899-80b6-849623ac40a7,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
182,64007a62-a631-4a6a-a65c-973ea81d4668,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
183,644024b6-0046-49d6-b41c-d982fc276220,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
184,625cf7b0-4182-40a8-9f58-945e2e81af09,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
185,6ea5e4c4-aa3b-497a-b840-43d464ccd946,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
186,c9ee7824-122e-40ad-90e8-c00734f94138,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
187,7815fb20-342d-4a09-8af8-002a509caa23,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
188,afe9d122-a9a5-4719-b28b-2758091e698b,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
189,60c7fabb-4532-414d-b571-2a786c47903e,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
190,f6b0e8a4-c454-4cfa-8e61-aae764821b1e,,,ALREADY_RESOLVED,archived,,,,,pre_verified,,,,Office already verified — archived.,False
